onset	duration	trial_type	catch_trial	trial_phase	XDAT	stim_dot_position	score	score_txt	latency_to_first_saccade
4.5	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
6.0	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
7.5	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	1	CORRECT	0.417
13.5	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
15.0	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
16.5	1.5	REWARD	NONCATCH	RESPONSE	185	532	1	CORRECT	0.483
31.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
33.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
34.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	1	CORRECT	0.483
37.5	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
39.0	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
40.5	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	1	CORRECT	0.483
43.5	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
45.0	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
46.5	1.5	REWARD	NONCATCH	RESPONSE	185	532	1	CORRECT	0.467
49.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
51.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
52.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	-1	DROP	0.767
55.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
63.0	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
64.5	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
67.5	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
69.0	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
70.5	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	-1	DROP	-0.001
73.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
75.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
76.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	1	CORRECT	0.45
79.5	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
81.0	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
84.0	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
90.0	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
91.5	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
93.0	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	-1	DROP	-0.001
96.0	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
97.5	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
99.0	1.5	REWARD	NONCATCH	RESPONSE	182	108	-1	DROP	-0.001
106.5	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
108.0	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
109.5	1.5	REWARD	NONCATCH	RESPONSE	184	426	-1	DROP	-0.001
112.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
114.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
115.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	1	CORRECT	0.567
118.5	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
120.0	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
123.0	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
124.5	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
126.0	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	1	CORRECT	0.583
136.5	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
138.0	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
139.5	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	1	CORRECT	0.55
142.5	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
148.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
150.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
151.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.517
154.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
157.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
159.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
160.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	-1	DROP	-0.001
163.5	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
165.0	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
166.5	1.5	REWARD	NONCATCH	RESPONSE	183	214	-1	DROP	1.183
175.5	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
177.0	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
178.5	1.5	REWARD	NONCATCH	RESPONSE	184	426	1	CORRECT	0.517
186.0	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
187.5	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
189.0	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	-1	DROP	-0.001
205.5	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
207.0	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
210.0	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
213.0	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
214.5	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
216.0	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	1	CORRECT	0.567
219.0	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
220.5	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
222.0	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	1	CORRECT	0.5
225.0	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
228.0	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
229.5	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
231.0	1.5	REWARD	NONCATCH	RESPONSE	186	633	-1	DROP	-0.001
234.0	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
235.5	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
241.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
243.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
244.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	-1	DROP	-0.001
247.5	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
249.0	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
250.5	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	1	CORRECT	0.517
256.5	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
258.0	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
259.5	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	-1	DROP	-0.001
265.5	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
267.0	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
268.5	1.5	REWARD	NONCATCH	RESPONSE	183	214	1	CORRECT	0.5
271.5	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
273.0	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
274.5	1.5	REWARD	NONCATCH	RESPONSE	182	108	1	CORRECT	0.5
277.5	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
279.0	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
282.0	1.5	NEUTRAL	NONCATCH	CUE	-1	n/a	n/a	n/a	n/a
283.5	1.5	NEUTRAL	NONCATCH	PREP	-1	n/a	n/a	n/a	n/a
285.0	1.5	NEUTRAL	NONCATCH	RESPONSE	-1	426	-1	DROP	-0.001
